RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,DateOfBirth,OpenAccountDate,CurrentAccountNumber,CreditCardAccountNumber,Balance,BalanceDate,EstimatedSalary
33,15750181,Sanderson,553,Germany,Male,1/13/1981,1/6/2013,300000015750181,CRE00000015750181T11111,110112.54,1/1/2023,81898.81
34,15659428,Maggard,520,Spain,Female,1/23/1980,1/11/2016,300000015659428,CRE00000015659428T11111,0,1/1/2023,34410.55
35,15732963,Clements,722,Spain,Female,1/2/1993,1/14/2013,300000015732963,CRE00000015732963T11111,0,1/1/2023,142033.07
36,15794171,Lombardo,475,France,Female,1/17/1977,1/24/2022,300000015794171,CRE00000015794171T11111,134264.04,1/1/2023,27822.99
37,15788448,Watson,490,Spain,Male,1/27/1991,1/2/2019,300000015788448,CRE00000015788448T11111,145260.23,1/1/2023,114066.77
38,15729599,Lorenzo,804,Spain,Male,1/8/1989,1/13/2015,300000015729599,CRE00000015729599T11111,76548.6,1/1/2023,98453.45
39,15717426,Armstrong,850,France,Male,1/14/1986,1/5/2015,300000015717426,CRE00000015717426T11111,0,1/1/2023,40812.9
40,15585768,Cameron,582,Germany,Male,1/16/1981,1/24/2016,300000015585768,CRE00000015585768T11111,70349.48,1/1/2023,178074.04
41,15619360,Hsiao,472,Spain,Male,1/10/1982,1/10/2018,300000015619360,CRE00000015619360T11111,0,1/1/2023,70154.22
42,15738148,Clarke,465,France,Female,1/8/1971,1/13/2014,300000015738148,CRE00000015738148T11111,122522.32,1/1/2023,181297.65
43,15687946,Osborne,556,France,Female,1/1/1961,1/6/2020,300000015687946,CRE00000015687946T11111,117419.35,1/1/2023,94153.83
44,15755196,Lavine,834,France,Female,1/15/1973,1/5/2020,300000015755196,CRE00000015755196T11111,131394.56,1/1/2023,194365.76
45,15684171,Bianchi,660,Spain,Female,1/4/1961,1/6/2017,300000015684171,CRE00000015684171T11111,155931.11,1/1/2023,158338.39
46,15754849,Tyler,776,Germany,Female,1/5/1990,1/10/2018,300000015754849,CRE00000015754849T11111,109421.13,1/1/2023,126517.46
47,15602280,Martin,829,Germany,Female,1/20/1995,1/12/2013,300000015602280,CRE00000015602280T11111,112045.67,1/1/2023,119708.21
48,15771573,Okagbue,637,Germany,Female,1/10/1983,1/27/2013,300000015771573,CRE00000015771573T11111,137843.8,1/1/2023,117622.8
49,15766205,Yin,550,Germany,Male,1/15/1984,1/27/2020,300000015766205,CRE00000015766205T11111,103391.38,1/1/2023,90878.13
50,15771873,Buccho,776,Germany,Female,1/1/1985,1/13/2020,300000015771873,CRE00000015771873T11111,103769.22,1/1/2023,194099.12
51,15616550,Chidiebele,698,Germany,Male,1/14/1978,1/24/2012,300000015616550,CRE00000015616550T11111,116363.37,1/1/2023,198059.16
52,15768193,Trevisani,585,Germany,Male,1/25/1986,1/4/2017,300000015768193,CRE00000015768193T11111,146050.97,1/1/2023,86424.57
53,15683553,O'Brien,788,France,Female,1/12/1989,1/5/2017,300000015683553,CRE00000015683553T11111,0,1/1/2023,116978.19
54,15702298,Parkhill,655,Germany,Male,1/2/1981,1/6/2014,300000015702298,CRE00000015702298T11111,125561.97,1/1/2023,164040.94
55,15569590,Yoo,601,Germany,Male,1/5/1980,1/18/2021,300000015569590,CRE00000015569590T11111,98495.72,1/1/2023,40014.76
56,15760861,Phillipps,619,France,Male,1/8/1979,1/3/2021,300000015760861,CRE00000015760861T11111,125211.92,1/1/2023,113410.49
57,15630053,Tsao,656,France,Male,1/19/1977,1/27/2017,300000015630053,CRE00000015630053T11111,127864.4,1/1/2023,87107.57
58,15647091,Endrizzi,725,Germany,Male,1/20/2003,1/20/2022,300000015647091,CRE00000015647091T11111,75888.2,1/1/2023,45613.75
59,15623944,T'ien,511,Spain,Female,1/14/1956,1/1/2018,300000015623944,CRE00000015623944T11111,0,1/1/2023,1643.11
60,15804771,Velazquez,614,France,Male,1/21/1971,1/3/2018,300000015804771,CRE00000015804771T11111,40685.92,1/1/2023,46775.28
61,15651280,Hunter,742,Germany,Male,1/15/1987,1/9/2017,300000015651280,CRE00000015651280T11111,136857,1/1/2023,84509.57
62,15773469,Clark,687,Germany,Female,1/21/1995,1/19/2013,300000015773469,CRE00000015773469T11111,152328.88,1/1/2023,126494.82
63,15702014,Jeffrey,555,Spain,Male,1/4/1989,1/2/2021,300000015702014,CRE00000015702014T11111,56084.69,1/1/2023,178798.13
64,15751208,Pirozzi,684,Spain,Male,1/7/1966,1/15/2014,300000015751208,CRE00000015751208T11111,78707.16,1/1/2023,99398.36
65,15592461,Jackson,603,Germany,Male,1/26/1996,1/9/2018,300000015592461,CRE00000015592461T11111,109166.37,1/1/2023,92840.67
66,15789484,Hammond,751,Germany,Female,1/18/1986,1/2/2016,300000015789484,CRE00000015789484T11111,169831.46,1/1/2023,27758.36
67,15696061,Brownless,581,Germany,Female,1/4/1988,1/11/2021,300000015696061,CRE00000015696061T11111,101633.04,1/1/2023,110431.51
68,15641582,Chibugo,735,Germany,Male,1/22/1979,1/21/2012,300000015641582,CRE00000015641582T11111,123180.01,1/1/2023,196673.28
69,15638424,Glauert,661,Germany,Female,1/18/1987,1/20/2017,300000015638424,CRE00000015638424T11111,150725.53,1/1/2023,113656.85
70,15755648,Pisano,675,France,Female,1/1/2001,1/22/2014,300000015755648,CRE00000015755648T11111,98373.26,1/1/2023,18203
71,15703793,Konovalova,738,Germany,Male,1/8/1964,1/8/2020,300000015703793,CRE00000015703793T11111,133745.44,1/1/2023,28373.86
72,15620344,McKee,813,France,Male,1/14/1993,1/2/2016,300000015620344,CRE00000015620344T11111,0,1/1/2023,33953.87
73,15812518,Palermo,657,Spain,Female,1/21/1985,1/6/2022,300000015812518,CRE00000015812518T11111,163607.18,1/1/2023,44203.55
74,15779052,Ballard,604,Germany,Female,1/16/1997,1/14/2017,300000015779052,CRE00000015779052T11111,157780.84,1/1/2023,58426.81
75,15770811,Wallace,519,France,Male,1/23/1986,1/24/2013,300000015770811,CRE00000015770811T11111,0,1/1/2023,145562.4
76,15780961,Cavenagh,735,France,Female,1/9/2001,1/17/2021,300000015780961,CRE00000015780961T11111,178718.19,1/1/2023,22388
77,15614049,Hu,664,France,Male,1/18/1967,1/3/2014,300000015614049,CRE00000015614049T11111,0,1/1/2023,139161.64
78,15662085,Read,678,France,Female,1/6/1990,1/10/2013,300000015662085,CRE00000015662085T11111,0,1/1/2023,148210.64
79,15575185,Bushell,757,Spain,Male,1/18/1989,1/1/2017,300000015575185,CRE00000015575185T11111,77253.22,1/1/2023,194239.63
80,15803136,Postle,416,Germany,Female,1/11/1981,1/14/2012,300000015803136,CRE00000015803136T11111,122189.66,1/1/2023,98301.61
81,15706021,Buley,665,France,Female,1/10/1988,1/7/2021,300000015706021,CRE00000015706021T11111,96645.54,1/1/2023,171413.66
82,15663706,Leonard,777,France,Female,1/20/1990,1/10/2020,300000015663706,CRE00000015663706T11111,0,1/1/2023,136458.19
83,15641732,Mills,543,France,Female,1/3/1986,1/18/2019,300000015641732,CRE00000015641732T11111,0,1/1/2023,26019.59
84,15701164,Onyeorulu,506,France,Female,1/9/1988,1/10/2018,300000015701164,CRE00000015701164T11111,90307.62,1/1/2023,159235.29
85,15738751,Beit,493,France,Female,1/26/1976,1/23/2018,300000015738751,CRE00000015738751T11111,0,1/1/2023,1907.66
86,15805254,Ndukaku,652,Spain,Female,1/21/1947,1/19/2012,300000015805254,CRE00000015805254T11111,0,1/1/2023,114675.75
87,15762418,Gant,750,Spain,Male,1/9/2000,1/12/2019,300000015762418,CRE00000015762418T11111,121681.82,1/1/2023,128643.35
88,15625759,Rowley,729,France,Male,1/7/1992,1/27/2013,300000015625759,CRE00000015625759T11111,0,1/1/2023,151869.35
89,15622897,Sharpe,646,France,Female,1/18/1976,1/12/2018,300000015622897,CRE00000015622897T11111,0,1/1/2023,93251.42
90,15767954,Osborne,635,Germany,Female,1/26/1994,1/26/2019,300000015767954,CRE00000015767954T11111,81623.67,1/1/2023,156791.36
91,15757535,Heap,647,Spain,Female,1/26/1978,1/5/2017,300000015757535,CRE00000015757535T11111,0,1/1/2023,174205.22
92,15731511,Ritchie,808,France,Male,1/11/1977,1/2/2015,300000015731511,CRE00000015731511T11111,118626.55,1/1/2023,147132.46
93,15809248,Cole,524,France,Female,1/10/1986,1/25/2012,300000015809248,CRE00000015809248T11111,0,1/1/2023,109614.57
94,15640635,Capon,769,France,Male,1/13/1993,1/2/2014,300000015640635,CRE00000015640635T11111,0,1/1/2023,172290.61
95,15676966,Capon,730,Spain,Male,1/6/1980,1/13/2018,300000015676966,CRE00000015676966T11111,0,1/1/2023,85982.47
96,15699461,Fiorentini,515,Spain,Male,1/27/1987,1/20/2012,300000015699461,CRE00000015699461T11111,176273.95,1/1/2023,121277.78
97,15738721,Graham,773,Spain,Male,1/17/1981,1/12/2013,300000015738721,CRE00000015738721T11111,102827.44,1/1/2023,64595.25
98,15693683,Yuille,814,Germany,Male,1/8/1993,1/16/2014,300000015693683,CRE00000015693683T11111,97086.4,1/1/2023,197276.13
99,15604348,Allard,710,Spain,Male,1/13/2000,1/25/2014,300000015604348,CRE00000015604348T11111,0,1/1/2023,99645.04
100,15633059,Fanucci,413,France,Male,1/17/1988,1/11/2013,300000015633059,CRE00000015633059T11111,0,1/1/2023,6534.18
101,15808582,Fu,665,France,Female,1/22/1982,1/4/2016,300000015808582,CRE00000015808582T11111,0,1/1/2023,161848.03
102,15743192,Hung,623,France,Female,1/14/1978,1/3/2016,300000015743192,CRE00000015743192T11111,0,1/1/2023,167162.43
103,15580146,Hung,738,France,Male,1/21/1991,1/23/2013,300000015580146,CRE00000015580146T11111,82674.15,1/1/2023,41970.72
104,15776605,Bradley,528,Spain,Male,1/19/1986,1/24/2015,300000015776605,CRE00000015776605T11111,0,1/1/2023,60536.56
105,15804919,Dunbabin,670,Spain,Female,1/20/1957,1/17/2021,300000015804919,CRE00000015804919T11111,0,1/1/2023,177655.68
106,15613854,Mauldon,622,Spain,Female,1/20/1976,1/24/2018,300000015613854,CRE00000015613854T11111,107073.27,1/1/2023,30984.59
107,15599195,Stiger,582,Germany,Male,1/12/1990,1/4/2021,300000015599195,CRE00000015599195T11111,88938.62,1/1/2023,10054.53
108,15812878,Parsons,785,Germany,Female,1/25/1986,1/6/2020,300000015812878,CRE00000015812878T11111,99806.85,1/1/2023,36976.52
109,15602312,Walkom,605,Spain,Male,1/24/1989,1/5/2017,300000015602312,CRE00000015602312T11111,150092.8,1/1/2023,71862.79
110,15744689,T'ang,479,Germany,Male,1/27/1987,1/8/2013,300000015744689,CRE00000015744689T11111,92833.89,1/1/2023,99449.86
111,15803526,Eremenko,685,Germany,Male,1/27/1992,1/4/2019,300000015803526,CRE00000015803526T11111,90536.81,1/1/2023,63082.88
112,15665790,Rowntree,538,Germany,Male,1/19/1983,1/26/2015,300000015665790,CRE00000015665790T11111,108055.1,1/1/2023,27231.26
113,15715951,Thorpe,562,France,Male,1/22/1980,1/18/2020,300000015715951,CRE00000015715951T11111,100238.35,1/1/2023,86797.41
114,15591100,Chiemela,675,Spain,Male,1/2/1986,1/8/2013,300000015591100,CRE00000015591100T11111,106190.55,1/1/2023,22994.32
115,15609618,Fanucci,721,Germany,Male,1/8/1994,1/14/2013,300000015609618,CRE00000015609618T11111,154475.54,1/1/2023,101300.94
116,15675522,Ko,628,Germany,Female,1/24/1992,1/21/2013,300000015675522,CRE00000015675522T11111,132351.29,1/1/2023,74169.13
117,15705512,Welch,668,Germany,Female,1/3/1985,1/19/2016,300000015705512,CRE00000015705512T11111,167864.4,1/1/2023,115638.29
118,15698028,Duncan,506,France,Female,1/7/1981,1/11/2021,300000015698028,CRE00000015698028T11111,0,1/1/2023,31766.3
119,15661670,Chidozie,524,Germany,Female,1/8/1991,1/14/2014,300000015661670,CRE00000015661670T11111,107818.63,1/1/2023,199725.39
120,15600781,Wu,699,Germany,Male,1/22/1988,1/1/2018,300000015600781,CRE00000015600781T11111,185173.81,1/1/2023,120834.48
121,15682472,Culbreth,828,France,Male,1/25/1988,1/11/2014,300000015682472,CRE00000015682472T11111,129433.34,1/1/2023,38131.77
122,15580203,Kennedy,674,Spain,Male,1/18/1983,1/11/2016,300000015580203,CRE00000015580203T11111,120193.42,1/1/2023,100130.95
123,15690673,Cameron,656,France,Female,1/12/1983,1/24/2016,300000015690673,CRE00000015690673T11111,0,1/1/2023,141069.88
124,15760085,Calabresi,684,Germany,Female,1/25/1974,1/19/2012,300000015760085,CRE00000015760085T11111,126384.42,1/1/2023,198129.36
125,15779659,Zetticci,625,France,Female,1/16/1994,1/2/2019,300000015779659,CRE00000015779659T11111,0,1/1/2023,183646.41
126,15627360,Fuller,432,France,Male,1/22/1980,1/3/2013,300000015627360,CRE00000015627360T11111,152603.45,1/1/2023,110265.24
127,15671137,MacDonald,549,France,Female,1/18/1970,1/17/2021,300000015671137,CRE00000015671137T11111,0,1/1/2023,8636.05
128,15782688,Piccio,625,Germany,Male,1/27/1966,1/19/2022,300000015782688,CRE00000015782688T11111,148507.24,1/1/2023,46824.08
129,15575492,Kennedy,828,France,Female,1/10/1981,1/21/2015,300000015575492,CRE00000015575492T11111,0,1/1/2023,171378.77
130,15591607,Fernie,770,France,Male,1/27/1998,1/6/2013,300000015591607,CRE00000015591607T11111,101827.07,1/1/2023,167256.35
131,15740404,He,758,France,Female,1/14/1988,1/25/2019,300000015740404,CRE00000015740404T11111,0,1/1/2023,124226.16
132,15718369,Kaodilinakachukwu,795,Germany,Female,1/3/1989,1/24/2013,300000015718369,CRE00000015718369T11111,130862.43,1/1/2023,114935.21
133,15677871,Cocci,687,France,Male,1/6/1984,1/10/2013,300000015677871,CRE00000015677871T11111,122570.87,1/1/2023,35608.88
134,15642004,Alekseeva,686,France,Male,1/5/1997,1/21/2021,300000015642004,CRE00000015642004T11111,0,1/1/2023,16459.37
135,15712543,Chinweike,789,Germany,Male,1/6/1983,1/25/2015,300000015712543,CRE00000015712543T11111,124828.46,1/1/2023,124411.08
136,15584518,Arthur,589,Germany,Female,1/17/1972,1/21/2017,300000015584518,CRE00000015584518T11111,144895.05,1/1/2023,34941.23
137,15802381,Li,461,Germany,Female,1/26/1988,1/21/2017,300000015802381,CRE00000015802381T11111,63663.93,1/1/2023,167784.28
138,15610156,Ma,637,France,Male,1/12/1982,1/26/2020,300000015610156,CRE00000015610156T11111,133463.1,1/1/2023,93165.34
139,15594408,Chia,584,Spain,Female,1/11/1974,1/23/2020,300000015594408,CRE00000015594408T11111,213146.2,1/1/2023,75161.25
140,15640905,Vasin,579,Spain,Female,1/19/1987,1/20/2021,300000015640905,CRE00000015640905T11111,129490.36,1/1/2023,8590.83
141,15698932,Groves,756,Germany,Male,1/20/1978,1/21/2012,300000015698932,CRE00000015698932T11111,137452.09,1/1/2023,189543.9
142,15724944,Tien,663,France,Male,1/18/1988,1/5/2015,300000015724944,CRE00000015724944T11111,0,1/1/2023,180427.24
143,15628145,Forwood,682,France,Female,1/26/1979,1/26/2017,300000015628145,CRE00000015628145T11111,125851.93,1/1/2023,193318.33
144,15713483,Greeves,793,Spain,Male,1/4/1970,1/19/2020,300000015713483,CRE00000015713483T11111,0,1/1/2023,159123.82
145,15612350,Taylor,691,France,Female,1/8/1991,1/4/2017,300000015612350,CRE00000015612350T11111,40915.55,1/1/2023,126213.84
146,15800703,Madukwe,485,Spain,Female,1/19/2001,1/6/2017,300000015800703,CRE00000015800703T11111,113157.22,1/1/2023,54141.5
147,15705707,Bennelong,635,Spain,Female,1/14/1993,1/6/2014,300000015705707,CRE00000015705707T11111,138296.94,1/1/2023,141075.51
148,15754105,Olisanugo,650,France,Male,1/6/1985,1/21/2017,300000015754105,CRE00000015754105T11111,106967.18,1/1/2023,24495.03
149,15703264,Chukwufumnanya,735,France,Male,1/4/1978,1/4/2013,300000015703264,CRE00000015703264T11111,120681.63,1/1/2023,74836.34
150,15794413,Harris,416,France,Male,1/16/1990,1/18/2022,300000015794413,CRE00000015794413T11111,0,1/1/2023,878.87
151,15650237,Morgan,754,Spain,Female,1/2/1990,1/14/2015,300000015650237,CRE00000015650237T11111,0,1/1/2023,89520.75
152,15759618,Alexeeva,535,France,Female,1/19/1974,1/21/2013,300000015759618,CRE00000015759618T11111,0,1/1/2023,149892.79
153,15811589,Metcalfe,716,Spain,Male,1/18/1980,1/23/2014,300000015811589,CRE00000015811589T11111,0,1/1/2023,180800.42
154,15689044,Humphries,539,France,Male,1/10/1985,1/11/2020,300000015689044,CRE00000015689044T11111,127609.59,1/1/2023,98646.22
155,15709368,Milne,614,France,Female,1/13/1979,1/25/2016,300000015709368,CRE00000015709368T11111,0,1/1/2023,109041.53
156,15679145,Chou,706,Spain,Male,1/14/1965,1/2/2015,300000015679145,CRE00000015679145T11111,0,1/1/2023,17941.16
157,15655007,Li,758,France,Female,1/21/1989,1/27/2015,300000015655007,CRE00000015655007T11111,0,1/1/2023,82996.47
158,15623595,Clayton,586,Spain,Female,1/23/1994,1/21/2020,300000015623595,CRE00000015623595T11111,0,1/1/2023,92067.35
159,15589975,Maclean,646,France,Female,1/17/1949,1/10/2016,300000015589975,CRE00000015589975T11111,97259.25,1/1/2023,104719.66
160,15804017,Chigolum,631,Germany,Female,1/10/1989,1/11/2018,300000015804017,CRE00000015804017T11111,123246.7,1/1/2023,112687.57
161,15692132,Wilkinson,717,Spain,Female,1/24/2000,1/13/2016,300000015692132,CRE00000015692132T11111,101060.25,1/1/2023,84699.56
162,15641122,Wei,684,France,Male,1/20/1992,1/17/2020,300000015641122,CRE00000015641122T11111,0,1/1/2023,83473.82
163,15630910,Treacy,800,France,Female,1/25/1973,1/4/2015,300000015630910,CRE00000015630910T11111,108007.36,1/1/2023,47125.11
164,15680772,Hu,721,Spain,Female,1/23/1986,1/5/2020,300000015680772,CRE00000015680772T11111,0,1/1/2023,106977.8
165,15658929,Taverner,683,Spain,Male,1/1/1993,1/24/2022,300000015658929,CRE00000015658929T11111,133702.89,1/1/2023,55582.54
166,15585388,Sherman,660,Germany,Male,1/21/1991,1/15/2013,300000015585388,CRE00000015585388T11111,125189.75,1/1/2023,139874.43
167,15724623,Taubman,704,Germany,Female,1/19/1998,1/20/2015,300000015724623,CRE00000015724623T11111,113034.22,1/1/2023,162503.48
168,15588537,Robinson,615,Spain,Female,1/16/1981,1/10/2013,300000015588537,CRE00000015588537T11111,109013.23,1/1/2023,196499.96
169,15574692,Pinto,667,Spain,Female,1/2/1983,1/21/2020,300000015574692,CRE00000015574692T11111,0,1/1/2023,40721.24
170,15611325,Wood,682,Germany,Male,1/19/1998,1/26/2013,300000015611325,CRE00000015611325T11111,57929.81,1/1/2023,53134.3
171,15587562,Hawkins,484,France,Female,1/19/1993,1/26/2018,300000015587562,CRE00000015587562T11111,130114.39,1/1/2023,164017.89
172,15613172,Sun,628,Germany,Male,1/10/1995,1/13/2017,300000015613172,CRE00000015613172T11111,95826.49,1/1/2023,155996.96
173,15651022,Yost,480,Germany,Male,1/27/1978,1/16/2012,300000015651022,CRE00000015651022T11111,129608.57,1/1/2023,5472.7
174,15586310,Ting,578,France,Male,1/13/1992,1/22/2018,300000015586310,CRE00000015586310T11111,169462.09,1/1/2023,112187.11
175,15625524,Rowe,512,France,Male,1/12/1982,1/9/2017,300000015625524,CRE00000015625524T11111,0,1/1/2023,146457.83
176,15755209,Fu,484,Spain,Female,1/19/1987,1/21/2015,300000015755209,CRE00000015755209T11111,133868.21,1/1/2023,27286.1
177,15645248,Ho,510,France,Female,1/19/1992,1/2/2022,300000015645248,CRE00000015645248T11111,0,1/1/2023,130553.47
178,15790355,Okechukwu,606,Germany,Male,1/25/1986,1/24/2017,300000015790355,CRE00000015790355T11111,190479.48,1/1/2023,179351.89
179,15762615,Campbell,597,Spain,Female,1/2/1982,1/21/2014,300000015762615,CRE00000015762615T11111,101993.12,1/1/2023,94774.12
180,15625426,Ashbolt,754,Germany,Female,1/17/1967,1/4/2019,300000015625426,CRE00000015625426T11111,161608.81,1/1/2023,8080.85
181,15716334,Rozier,850,Spain,Female,1/14/1977,1/19/2020,300000015716334,CRE00000015716334T11111,122311.21,1/1/2023,19482.5
182,15789669,Hsia,510,France,Male,1/7/1957,1/14/2020,300000015789669,CRE00000015789669T11111,0,1/1/2023,48071.61
183,15621075,Ogbonnaya,778,Germany,Female,1/20/1977,1/27/2021,300000015621075,CRE00000015621075T11111,162150.42,1/1/2023,174531.27
184,15810845,T'ang,636,France,Male,1/16/1980,1/1/2020,300000015810845,CRE00000015810845T11111,0,1/1/2023,55470.78
185,15719377,Cocci,804,France,Female,1/2/1972,1/2/2018,300000015719377,CRE00000015719377T11111,0,1/1/2023,8546.87
186,15654506,Chang,514,France,Male,1/18/1990,1/10/2014,300000015654506,CRE00000015654506T11111,0,1/1/2023,95857.18
187,15771977,T'ao,730,France,Female,1/3/1983,1/19/2021,300000015771977,CRE00000015771977T11111,99010.67,1/1/2023,194945.8
188,15708710,Ford,525,Spain,Female,1/21/1985,1/4/2022,300000015708710,CRE00000015708710T11111,0,1/1/2023,131521.72
189,15726676,Marshall,616,Spain,Male,1/15/1992,1/25/2017,300000015726676,CRE00000015726676T11111,0,1/1/2023,196108.51
190,15587421,Tsai,687,Germany,Female,1/15/1988,1/5/2015,300000015587421,CRE00000015587421T11111,111388.18,1/1/2023,148564.76
191,15726931,Onwumelu,715,France,Female,1/10/1981,1/27/2014,300000015726931,CRE00000015726931T11111,56214.85,1/1/2023,92982.61
192,15771086,Graham,512,France,Female,1/26/1986,1/8/2019,300000015771086,CRE00000015771086T11111,84327.77,1/1/2023,17675.36
193,15756850,Golovanov,479,France,Male,1/12/1982,1/8/2021,300000015756850,CRE00000015756850T11111,0,1/1/2023,114996.43
194,15702741,Potts,601,France,Male,1/6/1990,1/11/2014,300000015702741,CRE00000015702741T11111,93012.89,1/1/2023,86957.42
195,15679200,Crawford,580,Spain,Male,1/27/1993,1/25/2013,300000015679200,CRE00000015679200T11111,61710.44,1/1/2023,128077.8
196,15594815,Aleshire,807,France,Male,1/2/1987,1/1/2019,300000015594815,CRE00000015594815T11111,174790.15,1/1/2023,600.36
197,15635905,Moran,616,Spain,Female,1/8/1990,1/4/2016,300000015635905,CRE00000015635905T11111,0,1/1/2023,43001.46
198,15777892,Samsonova,721,Germany,Male,1/1/1985,1/1/2019,300000015777892,CRE00000015777892T11111,107720.64,1/1/2023,158591.12
199,15656176,Jenkins,501,France,Male,1/26/1965,1/3/2012,300000015656176,CRE00000015656176T11111,0,1/1/2023,47847.19
200,15811127,Volkov,521,France,Male,1/23/1987,1/11/2016,300000015811127,CRE00000015811127T11111,96423.84,1/1/2023,10488.44
201,15604482,Chiemezie,850,Spain,Male,1/6/1992,1/24/2020,300000015604482,CRE00000015604482T11111,141040.01,1/1/2023,5978.2
202,15622911,Jude,759,France,Male,1/8/1980,1/25/2018,300000015622911,CRE00000015622911T11111,105420.18,1/1/2023,121409.06
203,15600974,He,516,Spain,Male,1/21/1972,1/16/2017,300000015600974,CRE00000015600974T11111,0,1/1/2023,146145.93
204,15727868,Onuora,711,France,Female,1/5/1984,1/3/2020,300000015727868,CRE00000015727868T11111,129022.06,1/1/2023,14374.86
205,15627801,Ginikanwa,512,Spain,Male,1/13/1989,1/2/2019,300000015627801,CRE00000015627801T11111,176666.62,1/1/2023,94670.77
